Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2018-06-25 09:45:13;"Trening 1";"Bench Press (Barbell)";1;40;kg;5;;;;0;"";"";1h 14m
2018-06-25 09:45:13;"Trening 1";"Bench Press (Barbell)";2;35;kg;6;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Bench Press (Barbell)";3;30;kg;8;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Bench Press (Barbell)";4;30;kg;8;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Overhead Press (Barbell)";1;20;kg;5;;;;0;"";;1h 14m
2018-06-25 09:45:13;"Trening 1";"Overhead Press (Barbell)";2;20;kg;6;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Overhead Press (Barbell)";3;15;kg;8;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Overhead Press (Barbell)";4;15;kg;8;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Squat (Barbell)";1;30;kg;5;;;;0;"";;1h 14m
2018-06-25 09:45:13;"Trening 1";"Squat (Barbell)";2;20;kg;6;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Front Raise (Dumbbell)";1;5;kg;12;;;;0;"";;1h 14m
2018-06-25 09:45:13;"Trening 1";"Front Raise (Dumbbell)";2;5;kg;12;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Triceps Dip";1;0;kg;12;;;;0;"";;1h 14m
2018-06-25 09:45:13;"Trening 1";"Triceps Dip";2;0;kg;12;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Triceps Dip";3;0;kg;8;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Plank";1;;;;;;km;60;"";;1h 14m
2018-06-25 09:45:13;"Trening 1";"Plank";2;;;;;;km;60;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Plank";3;;;;;;km;60;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Hanging Knee Raise";1;;;12;;;;0;"";;1h 14m
2018-06-25 09:45:13;"Trening 1";"Hanging Knee Raise";2;;;12;;;;0;;;1h 14m
2018-06-25 09:45:13;"Trening 1";"Hanging Knee Raise";3;;;12;;;;0;;;1h 14m
2018-06-27 09:56:02;"Trening 2";"Deadlift (Barbell)";1;40;kg;5;;;;0;"";"";1h 10m
2018-06-27 09:56:02;"Trening 2";"Deadlift (Barbell)";2;40;kg;6;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Deadlift (Barbell)";3;35;kg;8;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Deadlift (Barbell)";4;30;kg;8;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Bent Over Row (Barbell)";1;35;kg;5;;;;0;"";;1h 10m
2018-06-27 09:56:02;"Trening 2";"Bent Over Row (Barbell)";2;30;kg;6;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Bent Over Row (Barbell)";3;25;kg;8;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Bent Over Row (Barbell)";4;25;kg;8;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Pull Up";1;0;kg;7;;;;0;"";;1h 10m
2018-06-27 09:56:02;"Trening 2";"Pull Up";2;0;kg;5;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Pull Up";3;0;kg;3;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Pull Up";4;0;kg;2;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Bench Press (Dumbbell)";1;12,5;kg;5;;;;0;"";;1h 10m
2018-06-27 09:56:02;"Trening 2";"Bench Press (Dumbbell)";2;12,5;kg;10;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Bench Press (Dumbbell)";3;12,5;kg;10;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Bicep Curl (Dumbbell)";1;5;kg;12;;;;0;"";;1h 10m
2018-06-27 09:56:02;"Trening 2";"Bicep Curl (Dumbbell)";2;5;kg;12;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Bicep Curl (Dumbbell)";3;5;kg;12;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Plank";1;;;;;;km;60;"";;1h 10m
2018-06-27 09:56:02;"Trening 2";"Plank";2;;;;;;km;60;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Plank";3;;;;;;km;60;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Cable Crunch";1;20;kg;12;;;;0;"";;1h 10m
2018-06-27 09:56:02;"Trening 2";"Cable Crunch";2;25;kg;12;;;;0;;;1h 10m
2018-06-27 09:56:02;"Trening 2";"Cable Crunch";3;30;kg;12;;;;0;;;1h 10m
2018-06-29 10:40:33;"Trening 1";"Bench Press (Barbell)";1;70;kg;3;;;;0;"";"";1h 22m
2018-06-29 10:40:33;"Trening 1";"Bench Press (Barbell)";2;60;kg;6;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Bench Press (Barbell)";3;55;kg;8;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Bench Press (Barbell)";4;52,5;kg;8;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Overhead Press (Barbell)";1;35;kg;5;;;;0;"";;1h 22m
2018-06-29 10:40:33;"Trening 1";"Overhead Press (Barbell)";2;30;kg;6;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Overhead Press (Barbell)";3;27,5;kg;8;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Overhead Press (Barbell)";4;25;kg;8;;;;0;;;1h 22m
2018-06-29 10:40:33;"Trening 1";"Squat (Barbell)";1;25;kg;5;;;;0;"";;1h 22m
